strategy,threshold,num_samples,accuracy,f1,precision,recall,fpr,tp,tn,fp,fn
best_f1,-0.22700951993465424,1946,0.8725590955806783,0.8753768844221105,0.8692614770459082,0.881578947368421,0.13674321503131523,871,827,131,117
youden,-0.2148926854133606,1946,0.8741007194244604,0.8733850129198966,0.8922914466737064,0.8552631578947368,0.10647181628392484,845,856,102,143
target_fpr_5pct,-0.17749427258968353,1946,0.8221993833504625,0.7993039443155452,0.936141304347826,0.6973684210526315,0.049060542797494784,689,911,47,299
target_fpr_3pct,-0.16050602495670319,1946,0.7738951695786228,0.7236180904522612,0.9536423841059603,0.582995951417004,0.029227557411273485,576,930,28,412
target_fpr_2pct,-0.14955566823482513,1946,0.7430626927029804,0.6697490092470277,0.9638783269961977,0.5131578947368421,0.019832985386221295,507,939,19,481
target_fpr_1pct,-0.12035170942544937,1946,0.6361767728674204,0.4494556765163298,0.9697986577181208,0.2925101214574899,0.009394572025052192,289,949,9,699
fixed,-0.25,1946,0.8494347379239465,0.8613345953620445,0.8088888888888889,0.9210526315789473,0.2244258872651357,910,743,215,78
fixed,-0.22,1946,0.8715313463514902,0.8724489795918368,0.8796296296296297,0.8653846153846154,0.12212943632567849,855,841,117,133
fixed,-0.2,1946,0.8643371017471737,0.8582169709989259,0.914187643020595,0.8087044534412956,0.07828810020876827,799,883,75,189
fixed,-0.18,1946,0.8299075025693731,0.8105323411562679,0.932806324110672,0.7165991902834008,0.05323590814196242,708,907,51,280
fixed,-0.16,1946,0.7713257965056526,0.7195967233774418,0.9532554257095158,0.5779352226720648,0.029227557411273485,571,930,28,417
fixed,-0.15,1946,0.7425488180883865,0.6697429136453527,0.9603024574669187,0.5141700404858299,0.021920668058455117,508,937,21,480
fixed,-0.14,1946,0.710174717368962,0.6083333333333334,0.9690265486725663,0.4433198380566802,0.014613778705636743,438,944,14,550
fixed,-0.12,1946,0.6351490236382322,0.4470404984423676,0.9695945945945946,0.29048582995951416,0.009394572025052192,287,949,9,701
fixed,-0.1,1946,0.5729701952723536,0.2805194805194805,0.9700598802395209,0.16396761133603238,0.005219206680584551,162,953,5,826
fixed,-0.08,1946,0.5318602261048304,0.14780168381665107,0.9753086419753086,0.07995951417004049,0.0020876826722338203,79,956,2,909
fixed,-0.05,1946,0.4938335046248715,0.006054490413723512,1.0,0.003036437246963563,0.0,3,958,0,985
